"book","chapter","verse","edition","text" 
"Gal","3","01","3.02","[ὦ@i ἀνόητος@anvmpn Γαλάτης@nvmpp τίς@rqnms σύ@rpa-p βασκαίνω@viaa3s ὅς@rrdmp κατά@pa ὀφθαλμός@nampc Ἰησοῦς@nnmsp Χριστός@nnmsp προγράφω@viap3s σταυρόω@vpxpnms]" 
"Gal","3","11","3.02","μανθάνω@vdaa2p ὅτι@cs ὁ@dnms δίκαιος@annmsn ἐκ@pg πίστις@ngfsc ζάω@vifm3s" 
"Gal","3","10","3.02","ὅσος@rrnmp γάρ@cc ὑπό@pa νόμος@namsc ὑπό@pa κατάρα@nafsc εἰμί@vipa3p" 
"Gal","3","12","3.02","ὁ@dnms δέ@cc ποιέω@vpaanms αὐτός@rpanp ζάω@vifm3s ἐν@pd αὐτός@rpdnp" 
"Gal","3","13","3.02","[Χριστός@nnmsp ἐγώ@rpa-p ἐξαγοράζω@viaa3s ἐκ@pg ὁ@dgfs κατάρα@ngfsc ὁ@dgms νόμος@ngmsc γίνομαι@vpamnms ὑπέρ@pg ἐγώ@rpg-p κατάρα@nnfsc ὅτι@cs γράφω@vixp3s ἐπικατάρατος@annmsn πᾶς@ainmsn ὁ@dnms κρεμάννυμι@vpppnms ἐπί@pg ξύλον@ngnsc]" 
"Gal","3","14b","3.02","(λαμβάνω@viaa1p) [] οὖν@cc ὁ@dafs πνευματικός@anafsn εὐλογία@nafsc διά@pg ὁ@dgfs πίστις@ngfsc" 
"Gal","3","26","3.02","πᾶς@ainmpn γάρ@cc υἱός@nnmpc εἰμί@vipa2p ὁ@dgfs πίστις@ngfsc" 
"Gal","4","01","3.02","[λέγω@vipa1s δέ@cc ἐπί@pa ὅσος@aramsn χρόνος@namsc ὁ@dnms κληρονόμος@nnmsc νήπιος@annmsn εἰμί@vipa3s οὐδείς@rians διαφέρω@vipa3s δοῦλος@ngmsc κύριος@nnmsc πᾶς@aignpn εἰμί@vppanms]" 
"Gal","4","02","3.02","[ἀλλά@cc ὑπό@pa ἐπίτροπος@nampc εἰμί@vipa3s καί@cc οἰκονόμος@nampc ἄχρι@pg ὁ@dgfs προθεσμία@ngfsc ὁ@dgms πατήρ@ngmsc]" 
"Gal","4","03","3.02","ἔτι@b κατά@pa ἄνθρωπος@namsc λέγω@vipa1s ὅτε@cs εἰμί@viia1p νήπιος@annmpn ὑπό@pa ὁ@danp στοιχεῖον@nanpc ὁ@dgms κόσμος@ngmsc εἰμί@viia1p τίθημι@vpxpnmp εἰς@pa ὁ@dans δουλεύω@vnaa αὐτός@rpdnp" 
"Gal","4","04","3.02","ὅτε@cs δέ@cc γίνομαι@viam3s πληρόω@vnpp ὁ@dams χρόνος@namsc ἀποστέλλω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dams υἱός@namsc αὐτός@rpgms" 
"Gal","4","05","3.02","[ἵνα@cs ὁ@damp ὑπό@pa νόμος@namsc ἐξαγοράζω@vsaa3s ἵνα@cs εἰς@pa υἱοθεσία@nafsc ἀπολαμβάνω@vsaa1p]" 
"Gal","4","06","3.02","ὅτι@cs οὖν@cc () εἰμί@vipa1p υἱός@nnmpc θεός@ngmsc ἀποστέλλω@viaa3s ὁ@dans πνεῦμα@nansc αὐτός@rpgms () [εἰς@pa ὁ@dafp καρδία@nafpc ἐγώ@rpg-p κράζω@vppaans ἀββά@nvmsc ὁ@dnms πατήρ@nnmsc]" 
"Gal","4","08","3.02","εἰ@cs οὖν@cc ὁ@ddmp ἐν@pd ὁ@ddfs φύσις@ndfsc εἰμί@vppadmp θεός@ndmpc δουλεύω@vipa2p" 
"Gal","4","09b","3.02","πῶς@b ἐπιστρέφω@vipa2p πάλιν@b [ἐπί@pa ὁ@danp ἀσθενής@ananpn καί@cc πτωχός@ananpn στοιχεῖον@nanpc ὅς@rrdnp πάλιν@b ἄνωθεν@b δουλεύω@vnpa θέλω@vipa2p]" 
"Gal","4","10","3.02","[ἡμέρα@nafpc παρατηρέω@vipm2p καί@cc μήν@nampc καί@cc καιρός@nampc καί@cc ἐνιαυτός@nampc]" 
"Gal","4","22","3.02","[γράφω@vixp3s γάρ@cc ὅτι@cs Ἀβραάμ@nnmsp δύο@acampn υἱός@nampc ἔχω@viaa3s εἷς@acamsn ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc καί@cc εἷς@acamsn ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn]" 
"Gal","4","23","3.02","[ἀλλά@cc ὁ@dnms μέν@x ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc κατά@pa σάρξ@nafsc γεννάω@vixp3s ὁ@dnms δέ@cc ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn διά@pg ὁ@dgfs ἐπαγγελία@ngfsc]" 
"Gal","4","24","3.02","[ὅστις@rrnnp εἰμί@vipa3s ἀλληγορέω@vpppnnp οὗτος@rdnfp γάρ@cc εἰμί@vipa3p] δύο@acnfpn διαθήκη@nnfpc εἷς@acnfsn μέν@x ἀπό@pg ὄρος@ngnsc Σινᾶ@ngnsp εἰς@pa ὁ@dafs συναγωγή@nafsc ὁ@dgmp Ἰουδαῖος@angmpn κατά@pa ὁ@dams νόμος@namsc γεννάω@vppanfs εἰς@pa δουλεία@nafsc" 
"Eph","1","21","3.02","εἷς@acnfsn (ἄλλος@ainfsn ἕτερος@ainfsn) δέ@cc ὑπεράνω@pg πᾶς@aigfsn ἀρχή@ngfsc καί@cc δύναμις@ngfsc καί@cc ἐξουσία@ngfsc καί@cc πᾶς@aignsn ὄνομα@ngnsc ὀνομάζω@vpppgns οὐ@b μόνος@b ἐν@pd ὁ@ddms αἰών@ndmsc οὗτος@rddms ἀλλά@cc καί@b ἐν@pd ὁ@ddms μέλλω@vppadms" 
"Gal","4","26","3.02","ὅστις@rrnfs εἰμί@vipa3s μήτηρ@nnfsc ἐγώ@rpg-p γεννάω@vppanfs εἰς@pa ὅς@rrafs ἐπαγγέλλομαι@viam1p ἅγιος@anafsn ἐκκλησία@nafsc" 
"Gal","4","31","3.02","[διό@cc ἀδελφός@nvmpc οὐ@b εἰμί@vipa1p παιδίσκη@ngfsc τέκνον@nnnpc ἀλλά@cc ὁ@dgfs ἐλεύθερος@angfsn]" 
"Gal","5","01","3.02","ὅς@rrdfs ἐλευθερία@ndfsc Χριστός@nnmsp ἐγώ@rpa-p ἐλευθερόω@viaa3s [στήκω@vdpa2p οὖν@cc καί@cc μή@x πάλιν@b ζυγός@ndmsc δουλεία@ngfsc ἐνέχω@vdpp2p]" 
"Gal","5","03","3.02","μαρτύρομαι@vipm1s δέ@cc πάλιν@b ὅτι@cs ἄνθρωπος@nnmsc περιτέμνω@vpxpnms ὀφειλέτης@nnmsc εἰμί@vipa3s ὅλος@anamsn ὁ@dams νόμος@namsc πληρόω@vnaa" 
"Gal","5","06","3.02","[ἐν@pd γάρ@cc Χριστός@ndmsp Ἰησοῦς@ndmsp οὔτε@cc περιτομή@nnfsc τὶς@rians ἰσχύω@vipa3s οὔτε@cc ἀκροβυστία@nnfsc ἀλλά@cc πίστις@nnfsc] διά@pg ἀγάπη@ngfsc (πληρόω@vppmnfs)" 
"Gal","5","09","3.02","[μικρός@annfsn ζύμη@nnfsc ὅλος@anansn] ὁ@dans φύραμα@nansc δολόω@vipa3s" 
