YYYY-mm-dd	resp	decision	rec	regex_string	orig_hits	cur_hits
2024-08-11	MGB	rejected	sub	ἐν@pd \w+@ndfsp : πρός@pa \w+@ndmpp	2	3
2024-08-11	MGB	rejected	del	χάρις@nnfsc (?:\w+@\w+){0,1}?καί@cc	3	9
2024-09-17	MV	accepted	del	δέ@cc ἀδελφός@nnmpc	0	0
2024-11-01	MGB	accepted	del	@vs\w{2}1p	14	9
2024-11-12	MV	accepted	del	διά@pg ἐγώ@rpg-p	2	1
2024-11-12	MV	accepted	sub	λαλέω@vipa1p : λαλέω@vipa1s	3	1
2025-01-24	MGB	accepted	del	ὁ@d\w+ κατά@pa	0	3
2025-01-24	MGB	accepted	del	ὁ@\w+ κατά@pa \w+@na\w+ \w+@vp	0	2
2025-01-24	MGB	accepted	del	ὁ@\w+ \w+@pa \w+@na\w+ \w+@vp	1	3
2025-01-24	MGB	accepted	del	ὁ@\w+ \w+@p\w+ \w+@n\w+ \w+@vp	2	3
2025-01-24	MGB	ratified	del	κατά@pa θεός@namsc	0	1
2025-02-18	MGB	accepted	del	τίμιος@	1	1
2025-02-18	MGB	accepted	trm	ἐν@pd \w+@nd\w+ ἤ@cc ἐν@pd \w+@nd\w+	2	0
2025-02-18	MGB	accepted	trm	\w+@na\w+ ἐν@pd Χριστός@ndmsp	0	0
2025-02-18	MGB	accepted	del	ἐν@pd ὅλος@andfsn	2	0
2025-02-18	MGB	accepted	sub	ὁ@dnfs \w+@nnfsc δέ@cc : ὁ@dnfs δέ@cc \w+@nnfsc	0	0
2025-02-18	MGB	accepted	sub	ὁ@dn\w{1}s \w+@nn\w{1}sc δέ@cc : ὁ@dn\w{1}s δέ@cc \w+@nn\w{1}sc	0	0
2025-02-18	MGB	accepted	del	εἰμί@vipa2p	12	9
2025-02-18	MGB	accepted	sub	δεῖ@v\w+ καί@cc : δεῖ@v\w+ γάρ@cc	0	0
2025-02-18	MGB	accepted	sub	εἰς@pa τίς@rq : ἔτι@b	0	0
2025-02-18	MGB	accepted	sub	καθάπερ@cs : καθώς@cs	1	1
2025-02-18	MGB	checking	del	ὅτι@cs εἰμί@vipa2	1	1
2025-02-18	MGB	rejected	del	σύ@rpn-p εἰμί@vipa2p	0	1
2025-02-18	MGB	rejected	del	λίθος@	3	3
2025-02-18	MGB	rejected	trm	ἐν@pd \w+@nd\w+ ἐν@pd \w+@nd\w+	1	1
2025-02-18	MGB	rejected	trm	\w+@nd\w+ ἤ@cc \w+@nd\w+	1	2
2025-02-18	MGB	rejected	del	@vpxpnfs	2	3
2025-02-18	MGB	rejected	del	@vpppnns	7	4
2025-02-18	MGB	rejected	del	ἀναγινώσκω@	1	3
2025-02-18	MGB	rejected	chk	ἕως@pg	0	0
2025-02-18	MGB	rejected	del	οἰκοδομή@	6	3
2025-02-18	MGB	rejected	del	τελέω@	3	2
2025-02-18	MGB	rejected	del	ἐντυπόω@	1	1
2025-02-18	MGB	rejected	trm	ἤ@cc \w+@v\w+ ἤ@cc \w+@v	1	1
2025-02-18	MGB	withdrew	del	γράμμα@	6	6
2025-02-20	MV	accepted	del	ἐκ@pg μέρος@ngnsc	4	1
2025-05-18	ALL	summation	cnt	?@?	434	205
